X_center,Y_center,X_left,Y_left,X_right,Y_right
0.0,0.3,-1.5,0.3,1.5,0.3
0.0,5.472413793103448,-1.5,5.472413793103448,1.5,5.472413793103448
0.0,10.644827586206898,-1.5,10.644827586206898,1.5,10.644827586206898
0.0,15.817241379310346,-1.5,15.817241379310346,1.5,15.817241379310346
0.0,20.989655172413794,-1.5,20.989655172413794,1.5,20.989655172413794
0.0,26.162068965517243,-1.5,26.162068965517243,1.5,26.162068965517243
0.0,31.33448275862069,-1.5,31.33448275862069,1.5,31.33448275862069
0.0,36.50689655172414,-1.5,36.50689655172414,1.5,36.50689655172414
0.0,41.679310344827584,-1.5,41.679310344827584,1.5,41.679310344827584
0.0,46.85172413793103,-1.5,46.85172413793103,1.5,46.85172413793103
0.0,52.02413793103448,-1.5,52.02413793103448,1.5,52.02413793103448
0.0,57.19655172413793,-1.5,57.19655172413793,1.5,57.19655172413793
0.0,62.36896551724138,-1.5,62.36896551724138,1.5,62.36896551724138
0.0,67.54137931034482,-1.5,67.54137931034482,1.5,67.54137931034482
0.0,72.71379310344828,-1.5,72.71379310344828,1.5,72.71379310344828
0.0,77.88620689655173,-1.5,77.88620689655173,1.5,77.88620689655173
0.0,83.05862068965517,-1.5,83.05862068965517,1.5,83.05862068965517
0.0,88.23103448275862,-1.5,88.23103448275862,1.5,88.23103448275862
0.0,93.40344827586206,-1.5,93.40344827586206,1.5,93.40344827586206
0.0,98.57586206896552,-1.5,98.57586206896552,1.5,98.57586206896552
0.0,103.74827586206897,-1.5,103.74827586206897,1.5,103.74827586206897
0.0,108.92068965517241,-1.5,108.92068965517241,1.5,108.92068965517241
0.0,114.09310344827587,-1.5,114.09310344827587,1.5,114.09310344827587
0.0,119.26551724137931,-1.5,119.26551724137931,1.5,119.26551724137931
0.0,124.43793103448276,-1.5,124.43793103448276,1.5,124.43793103448276
0.0,129.61034482758623,-1.5,129.61034482758623,1.5,129.61034482758623
0.0,134.78275862068966,-1.5,134.78275862068966,1.5,134.78275862068966
0.0,139.95517241379312,-1.5,139.95517241379312,1.5,139.95517241379312
0.0,145.12758620689658,-1.5,145.12758620689658,1.5,145.12758620689658
0.0,150.3,-1.5,150.3,1.5,150.3
0.0,0.0,,,,
